template_id,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,2025,9,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",1338,203,61.41391766835868,7.1869855188010385,63.749794234474585,0.8347003584781696,69.81462409138791,17,2,10366,3350,476,2892,20,3628
2,2025,11,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1479,260,86.92397501405468,7.428487744527758,63.250923806648316,0.9508313381390415,101.44503831725898,25,3,16347,5211,673,4493,34,5936
3,2025,4,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5274,882,157.72476487772707,67.36253705286815,355.8963224047966,2.4776261215232376,298.53798082551594,288,26,57337,17814,2625,14980,103,21815
4,2025,4,FL,AirTran Airways Corporation,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5557,870,99.3772673605667,5.090820263327096,392.180775133597,0.04244946392779311,373.3118569179431,47,15,50047,15548,2291,13076,90,19042
5,2025,4,US,US Airways Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",6803,1058,262.4553942612127,13.95596494598201,457.9751944489736,1.5698130639533474,322.045719772863,58,9,46019,14298,2106,12023,83,17509
6,2025,7,XE,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1540,329,58.95767692470272,5.9682398905064735,110.90979855279868,0.5077917893132083,152.65497193271844,44,4,23447,6892,1337,5876,33,9309
7,2025,9,NW,Northwest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",7399,1124,270.59856138303513,60.21650760146347,557.8089673345273,4.09501510633271,231.27821143518472,69,17,57655,18630,2648,16085,111,20181
8,2025,7,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1572,246,71.20365972660474,15.879410717727092,72.40282018582194,0.18419056095828967,86.32594322353327,15,3,18066,5311,1030,4528,25,7172
9,2025,11,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",2546,439,117.95269989343403,3.0053807532612384,161.70379080382585,0.665101361720491,155.6719663989473,11,2,26025,8297,1071,7153,54,9450
10,2025,3,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1343,314,96.94363291911135,2.4538506333936256,98.33414906606784,1.1302173669007467,115.14011621923207,34,2,19702,6158,844,5083,34,7583
11,2025,8,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1492,308,81.22208330129482,2.557089574596566,97.58377874226771,11.578251849436326,115.05879304779538,25,2,14080,4282,769,3576,29,5424
12,2025,12,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6802,2239,240.46100729075468,60.86285292114064,965.0633718890048,1.4759558508992032,971.1332908652695,470,9,154091,47164,8426,38167,286,60048
13,2025,6,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",6141,1232,298.521171554922,16.642047933838455,211.84704431346847,4.712313752130118,700.2758504711746,43,7,58451,16744,3433,15072,93,23109
14,2025,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1315,281,82.29612751739614,13.682801195470576,95.6379988762176,0.4267775055476202,88.95475644157446,35,3,16647,5097,910,4123,30,6487
15,2025,1,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",3487,926,158.01396133084637,22.08455075695491,417.4028283589253,1.57842442750991,326.9187152427486,163,10,70572,22234,4429,18277,115,25517
16,2025,11,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",1467,226,71.17530082395898,4.540895123576563,88.2967694262806,0.7252577092599376,61.263305993044305,12,2,13971,4454,575,3840,29,5073
17,2025,12,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",1377,292,92.28633851803984,11.795017898741497,93.45133290672347,0.5888831071505317,93.87925106417207,30,2,15922,4876,870,3943,29,6204
18,2025,5,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1393,275,72.04511644447494,9.888766120904615,105.85576606456858,0.44358477552597136,86.76774951010077,44,4,21484,6363,1141,5807,28,8145
19,2025,4,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3461,484,132.49028209275892,11.878702610586188,130.59563884642853,1.3813928929009855,207.65373419302475,44,2,23743,7378,1087,6203,42,9033
20,2025,1,HP,America West Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5556,1099,271.9646387403683,30.96666280596551,484.02383053057815,11.2056897162855,300.8347306989604,135,8,54976,17320,3450,14238,90,19878
21,2025,10,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",3422,779,128.73849604240516,11.769768947986687,341.2402172565102,1.5853564393398085,295.6666828659517,91,4,56519,17846,2212,15668,90,20703
22,2025,10,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",1378,275,34.92972431875584,4.8942644090851815,159.05877137249882,0.22580797758035723,75.89147274724156,14,3,18620,5882,728,5161,29,6820
23,2025,10,NW,Northwest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",7570,1392,288.72887925152935,83.57785288924549,718.8287149127311,4.407141660608821,296.45883288951416,64,14,72905,23018,2854,20211,117,26705
24,2025,10,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1839,364,38.44810799719985,2.3164133100924116,244.02843096391976,0.2426943532991394,78.96640080524898,17,3,23297,7357,912,6458,37,8533
25,2025,12,EV,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",4894,1082,182.84176929707158,28.21054636021765,407.2521931168616,0.38998498010653415,463.3041297480707,105,18,74666,22854,4083,18494,138,29097
26,2025,4,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",4074,559,176.94135631295975,23.566897200211223,136.67858453770228,1.3240283592264483,220.48678128128438,132,9,34185,10622,1565,8931,61,13006
27,2025,12,RU,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",7524,1677,199.5533469868643,34.26390645387003,885.6246344314732,10.038843040565487,547.5193247882016,109,27,86552,26493,4733,21438,160,33728
28,2025,12,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1455,346,96.91297540942087,3.0551625332224255,31.173527732593545,1.5318447561419686,213.3244663204014,25,3,15949,4883,872,3950,29,6215
29,2025,10,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5185,924,232.58566786971195,11.364765883306584,221.75190591591323,3.6516543595226736,454.6475738465402,49,4,39823,12573,1559,11040,64,14587
30,2025,11,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16571,2166,456.84814566271206,32.73878866908877,1090.7051534797413,2.4163814546289064,583.2941712935277,67,10,115093,36681,4740,31637,241,41794
31,2025,9,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",3825,644,138.3503975158171,10.421659514475307,338.90782826898715,0.43323992384242077,155.88586314101934,34,5,40319,13031,1851,11248,77,14112
32,2025,5,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1776,420,47.116679128534685,10.21882171647084,276.18420702217514,0.3964556086134176,86.08216083328902,77,7,29555,8753,1570,7989,38,11205
33,2025,11,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2790,295,87.16048070567723,5.998484998033345,96.05754879291796,0.5772184293441388,105.2078739479771,10,3,17477,5572,719,4804,36,6346
34,2025,9,EV,Atlantic Southeast Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1353,139,54.32824863084361,14.531877804011456,40.478484524385955,0.07983603995235232,29.58329257033777,30,4,7667,2479,352,2139,14,2683
35,2025,2,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",2926,519,125.85606933207323,4.998834382047665,87.8593391136326,1.8189343593490643,298.46527596841634,57,2,23250,7102,1422,6154,37,8535
36,2025,3,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1701,319,93.0082087249063,8.592842276152483,93.75757077804002,1.2681942856222999,122.37166176447145,34,3,16473,5150,705,4250,28,6340
37,2025,4,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",1367,283,53.02182877928529,6.187478348683887,132.23302314553405,0.11050045489375256,91.44605576733036,45,4,19859,6171,909,5188,35,7556
38,2025,4,NW,Northwest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",7659,1106,312.9167249813207,35.847541668815026,487.5599883348055,4.348237314838083,265.33002958128867,74,15,59124,18370,2706,15447,106,22495
39,2025,9,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",6021,741,183.29159791894983,30.06746907864486,195.9486703848127,2.435781277304304,329.2554507803719,70,14,35981,11628,1652,10038,69,12594
40,2025,1,TZ,ATA Airlines d/b/a ATA,MDW,"Chicago, IL: Chicago Midway International",1639,359,48.873290198824876,5.828876228309953,177.3085830667829,1.8446473751597097,125.1421031119712,46,3,25274,7964,1586,6545,41,9138
41,2025,12,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1969,374,122.46243780777986,14.827316438030364,125.22232040208607,1.708798139294483,109.78071635293857,19,3,21143,6472,1156,5237,39,8239
42,2025,4,RU,ExpressJet Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",3945,577,75.16933625747616,6.209989039006487,242.28858923084118,0.946198456594607,252.38435190413375,39,8,26777,8320,1225,6996,48,10188
43,2025,11,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",3683,653,138.72724486677723,7.6618591528963735,349.29072893025904,0.27927266631307157,157.0398781957158,28,5,40330,12854,1661,11086,84,14645
44,2025,7,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1666,384,124.80608035020788,8.31164455402896,117.53031779120799,0.4560705602536931,132.8982224934898,51,5,29103,8555,1659,7294,41,11554
45,2025,9,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",2151,404,80.95235103155431,9.883996209968164,223.91254639312135,0.10103117283776451,89.14909028581091,30,6,27508,8890,1263,7674,53,9628
46,2025,3,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",2457,434,122.79836595677429,9.57226276916044,98.98718121378514,1.4551323791007555,201.1844819963303,46,4,22261,6959,953,5744,38,8567
47,2025,3,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",1456,196,45.159356002077,4.718778953554417,85.61034740918349,0.7005945556688823,59.80883449953234,45,1,11491,3592,492,2965,20,4422
48,2025,3,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3783,656,172.6587491757659,22.054895218865557,179.40334052198813,2.0022548708812176,279.8823256132816,73,3,34727,10854,1487,8960,60,13366
49,2025,6,YX,Republic Airline,LGA,"New York, NY: LaGuardia",1432,312,74.35633146801922,11.706458065429414,135.42519141875025,0.32631737181372317,90.19018031115036,30,9,25393,7275,1491,6548,40,10039
50,2025,8,YV,Mesa Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1980,272,126.19261875844285,16.718836619668085,64.23468838246386,1.4901859826390855,63.36193181212272,36,5,17021,5175,930,4323,36,6557
51,2025,6,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12628,2830,637.8675872259528,152.9656396370248,917.9111544239646,5.725628038345053,1115.5305180343823,283,86,200395,57399,11771,51675,320,79230
52,2025,5,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5117,968,181.08734806168567,97.95378911418307,343.68070126827945,3.176865749904327,342.10607820840414,178,24,72996,21617,3878,19732,95,27674
53,2025,10,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5410,1000,194.4850785919415,15.392140203222187,501.6988178012796,1.34035333907198,287.0836235191448,63,10,58261,18396,2280,16151,93,21341
54,2025,11,EV,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",4838,650,108.88403561093806,11.947076853972149,260.042136426151,0.06762497680885296,269.05073237727146,35,8,40882,13032,1683,11237,85,14845
55,2025,5,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3490,499,135.72491363105422,13.343493306174828,134.096036238911,1.5450410606685971,214.29155747517476,31,2,25329,7502,1345,6847,33,9602
56,2025,6,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3512,554,152.94112417167,10.864082379438464,129.04088255676393,2.936926578346237,258.2153852362221,34,2,28925,8286,1699,7458,46,11436
57,2025,1,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2453,262,139.94169572896877,9.917046980030605,9.68443732998177,1.1632029893158853,101.29087078618656,17,2,12721,4010,798,3294,20,4599
58,2025,5,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1714,203,67.28606741758776,6.796497396129868,47.98791061856925,0.12488587847021478,80.80157607738496,31,2,15003,4444,797,4055,19,5688
59,2025,3,RU,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",4813,1377,83.04600759672878,16.89531426407838,959.0382376091852,2.144280349791499,315.87334141825363,138,15,87753,27424,3759,22643,152,33775
60,2025,8,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1991,371,122.57900155749802,11.552032110190712,141.62423835755325,0.7440099391313224,94.50071447865231,11,3,21413,6511,1170,5438,45,8249
61,2025,6,DH,Atlantic Coast Airlines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",2602,511,73.26347877342934,17.900102334328036,106.40384061355438,0.22166100798582603,313.21094292936044,77,6,28578,8188,1678,7369,45,11298
62,2025,5,RU,ExpressJet Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",4004,636,84.46227333949662,13.523417155736897,257.145003018634,0.8678990308945705,280.00133866195284,41,7,37309,11050,1982,10085,48,14144
63,2025,4,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1758,390,46.92315129762186,6.624188761249375,254.96077448865506,0.11143956958696068,81.38457021299699,89,3,26079,8104,1193,6813,47,9922
64,2025,1,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3693,641,177.1383383124957,24.89531333438633,140.18518951421007,1.329934777092581,297.4507136198636,77,4,38481,12123,2415,9966,63,13914
65,2025,7,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3702,611,166.59320767465067,17.87776689415638,137.3586712853276,2.2623376024698634,286.90855516522043,43,3,33494,9844,1910,8395,47,13298
66,2025,5,9E,Pinnacle Airlines Inc.,MEM,"Memphis, TN: Memphis International",2704,438,103.0190203801605,14.298274426210805,181.70713976957046,1.2276497591062825,137.74787451507098,31,8,22661,6712,1204,6125,29,8591
67,2025,3,OO,SkyWest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1602,216,69.41997140233046,16.752073845778128,56.49626217792597,0.6105405159555357,72.7211574290132,33,2,16487,5154,706,4254,28,6345
68,2025,9,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1437,179,52.92909866020554,1.9124349896657422,22.746198272784035,0.858327677405697,100.55293338387035,21,2,7694,2488,353,2146,14,2693
69,2025,10,YV,Mesa Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1899,238,94.96441210984449,6.661468998863942,66.6710401434487,1.2378440403014082,68.46442584370014,28,2,15633,4937,612,4333,25,5726
70,2025,2,OO,SkyWest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1439,244,82.26912557698631,27.513894176525806,59.65359135924558,0.7219785228358401,73.84197545473927,42,3,21089,6442,1290,5582,33,7742
71,2025,3,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7232,923,212.6580036502297,30.261702785537857,246.3645296857618,5.201977574626524,428.50868714066235,304,19,64194,20062,2750,16564,111,24707
72,2025,7,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",2847,570,176.54249181069133,6.590036422483027,67.64736657252463,1.70770245891236,317.5108450486856,28,3,27382,8049,1561,6863,38,10871
73,2025,7,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2663,234,114.55860677129223,2.0692811245564355,10.125444403137848,1.2339995296617536,106.01393175894717,15,2,11573,3404,659,2900,16,4594
74,2025,3,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",2541,464,88.07882762957196,6.004445290746476,196.1479667040469,0.21762847066825614,173.5540082546945,54,2,26190,8186,1122,6757,45,10080
