carrier,carrier_name
9E,Pinnacle Airlines Inc.
AA,American Airlines Inc.
AQ,Aloha Airlines Inc.
AS,Alaska Airlines Inc.
B6,JetBlue Airways
CO,Continental Air Lines Inc.
DH,Atlantic Coast Airlines
DL,Delta Air Lines Inc.
EV,ExpressJet Airlines Inc.
F9,Frontier Airlines Inc.
FL,AirTran Airways Corporation
G4,Allegiant Air
HA,Hawaiian Airlines Inc.
HP,America West Airlines Inc.
MQ,American Eagle Airlines Inc.
NK,Spirit Air Lines
NW,Northwest Airlines Inc.
OH,Comair Inc.
OO,SkyWest Airlines Inc.
QX,Horizon Air
RU,ExpressJet Airlines Inc.
TZ,ATA Airlines d/b/a ATA
UA,United Air Lines Inc.
US,US Airways Inc.
VX,Virgin America
WN,Southwest Airlines Co.
XE,ExpressJet Airlines Inc.
YV,Mesa Airlines Inc.
YX,Republic Airline
